"General", "Aviation"
"A332", "EVA"
"A332", "FJI"
"A332", "GFA"
"A332", "GIA"
"A332", "HAL"
"A332", "IAW"
"A332", "IYE"
"A332", "JAI"
"A332", "JST"
"A332", "KAL"
"A332", "KKK"
"A332", "KLM"
"A332", "LAA"
"A332", "LTU"
"A332", "LVG"
"A332", "MAS"
"A332", "MAU"
"A332", "MEA"
"A332", "MON"
"A332", "MSR"
"A332", "MXA"
"A332", "MYT"
"A332", "NWA"
"A332", "OAS"
"A332", "QFA"
"A332", "QTR"
"A332", "RJA"
"A332", "SEY"
"A332", "SWI"
"A332", "SWR"
"A332", "TAM"
"A332", "TAP"
"A332", "TCX"
"A332", "THY"
"A332", "TSC"
"A332", "UAE"
"A332", "VOZ"
"A333", "AAL"
"A333", "ACA"
"A333", "AEA"
"A333", "AFL"
"A333", "AWE"
"A333", "BAF"
"A333", "BEL"
"A333", "BER"
"A333", "CAJ"
"A333", "CAL"
"A333", "CES"
"A333", "CPA"
"A333", "CPL"
"A333", "DAL"
"A333", "DLH"
"A333", "EDW"
"A333", "ETD"
"A333", "EVE"
"A333", "FIN"
"A333", "GIA"
"A333", "HDA"
"A333", "IBE"
"A333", "IWD"
"A333", "KAL"
"A333", "KLM"
"A333", "KNE"
"A333", "MSR"
"A333", "NWA"
"A333", "OAS"
"A333", "OMA"
"A333", "PAL"
"A333", "QFA"
"A333", "QTR"
"A333", "SAS"
"A333", "SIA"
"A333", "SSV"
"A333", "SVA"
"A333", "SWR"
"A333", "THA"
"A333", "THY"
"A333", "TSC"
"A333", "VIR"
"A333", "XAX"
"A342", "AUA"
"A342", "CTM"
"A342", "EGY"
"A342", "MSR"
"A342", "QAF"
"A342", "RBA"
"A342", "RJA"
"A342", "SAA"
"A343", "ACA"
"A343", "AFR"
"A343", "ALK"
"A343", "ARG"
"A343", "CAL"
"A343", "CCA"
"A343", "CES"
"A343", "CPA"
"A343", "DLH"
"A343", "ETD"
"A343", "FIN"
"A343", "GFA"
"A343", "IBE"
"A343", "IRC"
"A343", "KAC"
"A343", "LAN"
"A343", "MAU"
"A343", "MDG"
"A343", "NMB"
"A343", "OAL"
"A343", "PAL"
"A343", "SAA"
"A343", "SAS"
"A343", "SLM"
"A343", "SWI"
"A343", "SWR"
"A343", "TAP"
"A343", "THT"
"A343", "THY"
"A343", "UAE"
"A343", "VIR"
"A345", "AHY"
"A345", "ARA"
"A345", "ETD"
"A345", "QAF"
"A345", "SIA"
"A345", "TAM"
"A345", "UAE"
"A346", "CES"
"A346", "CHH"
"A346", "CPA"
"A346", "DLH"
"A346", "ETD"
"A346", "IBE"
"A346", "MSX"
"A346", "QTR"
"A346", "SAA"
"A346", "THA"
"A346", "VIR"
"A388", "AAR"
"A388", "AFR"
"A388", "BAW"
"A388", "CSN"
"A388", "DLH"
"A388", "ETD"
"A388", "KAL"
"A388", "MAS"
"A388", "QFA"
"A388", "QTR"
"A388", "SIA"
"A388", "THA"
"A388", "UAE"
"B712", "BLF"
"B712", "DAL"
"B712", "HAL"
"B712", "QNK"
"B712", "VOE"
"B733", "AUL"
"B733", "BAW"
"B733", "BBD"
"B733", "BEL"
"B733", "BPA"
"B733", "BTI"
"B733", "BUR"
"B733", "DLH"
"B733", "ELB"
"B733", "EXS"
"B733", "JTG"
"B733", "LLC"
"B733", "MSA"
"B733", "NAX"
"B733", "RAM"
"B733", "SWA"
"B733", "TAY"
"B733", "UAL"
"B733", "USA"
"B733", "WLB"
"B734", "ARR"
"B734", "ASA"
"B734", "BAW"
"B734", "BBD"
"B734", "BBG"
"B734", "BIE"
"B734", "BMS"
"B734", "KLM"
"B734", "LOT"
"B734", "RLX"
"B734", "USA"
"B734", "UTA"
"B734", "VAS"
"B737", "ARG"
"B737", "ASA"
"B737", "AUA"
"B737", "COA"
"B737", "DAL"
"B737", "GMI"
"B737", "LGL"
"B737", "RAM"
"B737", "SWA"
"B737", "WJA"
"B738", "AAL"
"B738", "ABB"
"B738", "ABN"
"B738", "ABX"
"B738", "ABZ"
"B738", "ADH"
"B738", "AEA"
"B738", "AEL"
"B738", "AET"
"B738", "AEY"
"B738", "AFF"
"B738", "AGA"
"B738", "AGN"
"B738", "AHS"
"B738", "AJA"
"B738", "AMV"
"B738", "AMX"
"B738", "ANA"
"B738", "ANG"
"B738", "ARA"
"B738", "ARG"
"B738", "ARW"
"B738", "ASA"
"B738", "AUA"
"B738", "AUH"
"B738", "AUI"
"B738", "AUZ"
"B738", "AWV"
"B738", "AXB"
"B738", "AXE"
"B738", "AXN"
"B738", "AXY"
"B738", "AYZ"
"B738", "BAL"
"B738", "BER"
"B738", "BHA"
"B738", "BLX"
"B738", "BRQ"
"B738", "BRU"
"B738", "BWA"
"B738", "BZS"
"B738", "CAI"
"B738", "CAL"
"B738", "CAV"
"B738", "CAW"
"B738", "CCA"
"B738", "CCH"
"B738", "CES"
"B738", "CJA"
"B738", "CJT"
"B738", "CMP"
"B738", "CND"
"B738", "COA"
"B738", "CSF"
"B738", "CSH"
"B738", "CSN"
"B738", "CSZ"
"B738", "CXN"
"B738", "DAH"
"B738", "DAL"
"B738", "DRU"
"B738", "DTH"
"B738", "DUB"
"B738", "EBA"
"B738", "ECN"
"B738", "ELY"
"B738", "EMI"
"B738", "EMR"
"B738", "ENT"
"B738", "ETH"
"B738", "EUK"
"B738", "EXS"
"B738", "FDB"
"B738", "FEI"
"B738", "FFM"
"B738", "FLO"
"B738", "FOR"
"B738", "FRR"
"B738", "FUA"
"B738", "FUN"
"B738", "FWA"
"B738", "GAI"
"B738", "GHY"
"B738", "GIA"
"B738", "GLJ"
"B738", "GLO"
"B738", "GLS"
"B738", "GLT"
"B738", "GRE"
"B738", "GSM"
"B738", "GXL"
"B738", "HAM"
"B738", "HCY"
"B738", "HIS"
"B738", "HLF"
"B738", "HLX"
"B738", "HUV"
"B738", "IAI"
"B738", "IAW"
"B738", "ICP"
"B738", "INX"
"B738", "IRB"
"B738", "IYE"
"B738", "JAF"
"B738", "JAI"
"B738", "JAL"
"B738", "JEF"
"B738", "JFU"
"B738", "JGO"
"B738", "JJA"
"B738", "JLL"
"B738", "JNA"
"B738", "JOR"
"B738", "KAL"
"B738", "KLM"
"B738", "KQA"
"B738", "KYV"
"B738", "KZR"
"B738", "LDA"
"B738", "LGL"
"B738", "MAH"
"B738", "MAS"
"B738", "MED"
"B738", "MHL"
"B738", "MMZ"
"B738", "MNO"
"B738", "MSL"
"B738", "MSR"
"B738", "MWA"
"B738", "NAX"
"B738", "NHL"
"B738", "NOK"
"B738", "NOS"
"B738", "NVA"
"B738", "NWE"
"B738", "OAS"
"B738", "OMN"
"B738", "ORB"
"B738", "PBN"
"B738", "PGT"
"B738", "PRI"
"B738", "PRY"
"B738", "PTI"
"B738", "PVI"
"B738", "QFA"
"B738", "RAA"
"B738", "RAM"
"B738", "RBY"
"B738", "REB"
"B738", "REU"
"B738", "ROT"
"B738", "RRE"
"B738", "RSF"
"B738", "RYR"
"B738", "SAA"
"B738", "SAS"
"B738", "SBI"
"B738", "SCX"
"B738", "SGA"
"B738", "SGX"
"B738", "SHY"
"B738", "SJY"
"B738", "SKY"
"B738", "SMD"
"B738", "SMR"
"B738", "SMY"
"B738", "SNJ"
"B738", "SOL"
"B738", "SPL"
"B738", "STH"
"B738", "SUN"
"B738", "SWA"
"B738", "SWG"
"B738", "SWI"
"B738", "SWV"
"B738", "SXD"
"B738", "SXS"
"B738", "SYL"
"B738", "SYR"
"B738", "SYT"
"B738", "TBA"
"B738", "TCV"
"B738", "TFL"
"B738", "THY"
"B738", "TLP"
"B738", "TOM"
"B738", "TPK"
"B738", "TRA"
"B738", "TRI"
"B738", "TSC"
"B738", "TSO"
"B738", "TTL"
"B738", "TUA"
"B738", "TUI"
"B738", "TVL"
"B738", "TVS"
"B738", "TWI"
"B738", "TYA"
"B738", "UAL"
"B738", "UTA"
"B738", "UTN"
"B738", "VAE"
"B738", "VAI"
"B738", "VIK"
"B738", "VIP"
"B738", "VOZ"
"B738", "VPA"
"B738", "VRN"
"B738", "VSP"
"B738", "WEV"
"B738", "WJA"
"B738", "XAS"
"B739", "ASA"
"B739", "BTK"
"B739", "COA"
"B739", "DAL"
"B739", "ELY"
"B739", "JAI"
"B739", "KAL"
"B739", "KLM"
"B739", "LNI"
"B739", "SEJ"
"B739", "SMR"
"B739", "UAL"
"B739", "VAI"
"B744", "AAA"
"B744", "AAR"
"B744", "ABN"
"B744", "ABZ"
